"id","category","subcategory","difficulty","difficultyStars","question","options","correctAnswer","explanation","reflection","totalCount","answerCounts"
1,"과학","물리학",2,"★★☆☆☆","빛의 속도는 약 얼마입니까? (단위: m/s)","[""30,000 m/s"",""300,000 m/s"",""3,000,000 m/s"",""300,000,000 m/s""]",3,"빛의 속도는 진공에서 약 300,000,000 m/s로 우주 최고 속도입니다.","작은 호기심이 세상을 밝히는 힘이 됩니다.",0,"[0,0,0,0,0]"
2,"역사","한국사",3,"★★★☆☆","조선왕조를 건국한 인물은 누구입니까?","[""이성계"",""정도전"",""이방원"",""세종대왕""]",0,"이성계는 1392년 고려를 멸망시키고 조선을 건국한 창건자입니다.","역사는 한 사람의 용기에서 시작됩니다.",0,"[0,0,0,0,0]"
3,"지리","세계지리",1,"★☆☆☆☆","세계에서 가장 큰 대륙은 어디입니까?","[""아프리카"",""아시아"",""북아메리카"",""남아메리카""]",1,"아시아는 면적 4,400만 km²로 세계 최대 대륙입니다.","넓은 세상만큼 우리의 시야도 넓어집니다.",0,"[0,0,0,0,0]"
4,"문학","한국문학",4,"★★★★☆","'춘향전'의 작가는 누구입니까?","[""김유정"",""이광수"",""작자미상"",""박지원""]",2,"춘향전은 조선시대 판소리계 소설로 정확한 작가가 알려지지 않았습니다.","이름 없는 이의 이야기도 세월을 넘어 남습니다.",0,"[0,0,0,0,0]"
5,"스포츠","축구",5,"★★★★★","FIFA 월드컵에서 가장 많이 우승한 국가는 어디입니까?","[""독일"",""아르헨티나"",""브라질"",""이탈리아""]",2,"브라질은 FIFA 월드컵에서 5번 우승하여 최다 우승국입니다.","최고의 자리는 끊임없는 도전자에게 주어집니다.",0,"[0,0,0,0,0]"
6,"과학","생물학",2,"★★☆☆☆","사람의 몸에서 산소를 운반하는 혈액 속 세포는 무엇입니까?","[""백혈구"",""적혈구"",""혈소판"",""림프구""]",1,"적혈구는 헤모글로빈을 통해 폐에서 온몸으로 산소를 운반합니다.","작은 세포 하나가 생명을 불어넣습니다.",0,"[0,0,0,0,0]"
7,"역사","세계사",3,"★★★☆☆","프랑스 혁명은 몇 년에 시작되었습니까?","[""1776년"",""1789년"",""1812년"",""1848년""]",1,"프랑스 혁명은 1789년 바스티유 감옥 습격으로 시작된 시민 혁명입니다.","혁명은 시대의 끝이자 새로운 시작입니다.",0,"[0,0,0,0,0]"
8,"지리","한국지리",1,"★☆☆☆☆","대한민국의 수도는 어디입니까?","[""부산"",""서울"",""인천"",""대구""]",1,"서울은 대한민국의 수도이자 정치 경제 문화의 중심지입니다.","수도는 한 나라의 마음이 모이는 곳입니다.",0,"[0,0,0,0,0]"
9,"문학","세계문학",4,"★★★★☆","'노인과 바다'를 쓴 작가는 누구입니까?","[""어니스트 헤밍웨이"",""마크 트웨인"",""조지 오웰"",""윌리엄 셰익스피어""]",0,"헤밍웨이가 1952년에 발표한 노벨문학상 수상작입니다.","바다는 인생, 노인은 우리 모두의 모습입니다.",0,"[0,0,0,0,0]"
10,"스포츠","올림픽",2,"★★☆☆☆","하계 올림픽이 1988년에 개최된 도시는 어디입니까?","[""도쿄"",""서울"",""베이징"",""로스앤젤레스""]",1,"1988년 서울올림픽은 한국이 처음 개최한 올림픽 대회였습니다.","스포츠는 세계를 하나로 묶는 힘이 있습니다.",0,"[0,0,0,0,0]"
